feature,psi,type,n_current,n_baseline
keltner_upper_480,7.071319956662011,numeric,1743,1741
keltner_upper_60,5.974524381980417,numeric,1743,1742
keltner_upper_240,5.974524381980417,numeric,1743,1742
donchian_upper_480,5.648042441653352,numeric,1743,1741
bollinger_upper_480,5.621960949446196,numeric,1743,1741
high,4.529296988171196,numeric,1743,1742
donchian_upper_60,4.529296988171196,numeric,1743,1742
donchian_upper_240,4.529296988171196,numeric,1743,1742
keltner_middle_60,4.468546535924341,numeric,1743,1742
keltner_middle_240,4.468546535924341,numeric,1743,1742
sma_60,4.468546535924341,numeric,1743,1742
ema_60,4.468546535924341,numeric,1743,1742
ref_price,4.468546535924341,numeric,1743,1742
bollinger_lower_240,4.468546535924341,numeric,1743,1742
bollinger_upper_240,4.468546535924341,numeric,1743,1742
sma_240,4.468546535924341,numeric,1743,1742
close,4.468546535924341,numeric,1743,1742
bollinger_upper_60,4.468546535924341,numeric,1743,1742
bollinger_lower_60,4.468546535924341,numeric,1743,1742
ema_240,4.468546535924341,numeric,1743,1742
donchian_middle_60,4.465927495129083,numeric,1743,1742
donchian_middle_240,4.465927495129083,numeric,1743,1742
donchian_middle_480,4.457756690352428,numeric,1743,1741
keltner_middle_480,4.454738449852454,numeric,1743,1741
sma_480,4.454738449852454,numeric,1743,1741
ema_480,4.45284003384297,numeric,1743,1741
open,4.3670518453497245,numeric,1743,1742
donchian_lower_60,4.278706378110621,numeric,1743,1742
low,4.278706378110621,numeric,1743,1742
donchian_lower_240,4.278706378110621,numeric,1743,1742
bollinger_lower_480,4.248944104341888,numeric,1743,1741
donchian_lower_480,4.231397375817984,numeric,1743,1741
keltner_lower_480,2.872139726985554,numeric,1743,1741
keltner_lower_240,2.866874674288215,numeric,1743,1742
keltner_lower_60,2.866874674288215,numeric,1743,1742
garch_8h,0.5096658989420249,numeric,1743,1741
garch_4h,0.5096658989420249,numeric,1743,1741
atr_480,0.3047402213188622,numeric,1743,1741
parkinson_8h,0.23879387054545895,numeric,1743,1741
atr_60,0.21431960402851546,numeric,1743,1742
atr_240,0.21431960402851546,numeric,1743,1742
ao,0.13850382611875303,numeric,1743,1709
macd_signal,0.12995155195860322,numeric,1743,1709
volume,0.12750502885893136,numeric,1743,1742
macd,0.11282013254922203,numeric,1743,1709
macd_histogram,0.09840057231047192,numeric,1743,1709
mom_480,0.08684754994340502,numeric,1743,1740
slope_480,0.07416840674318048,numeric,1743,1741
mom_240,0.07416840674318048,numeric,1743,1741
mom_60,0.07416840674318048,numeric,1743,1741
std_returns_480,0.05109717107636037,numeric,1743,1740
roc_480,0.05062399806720578,numeric,1743,1740
ret_8h,0.05062399806720578,numeric,1743,1740
bollinger_bandwidth_480,0.046781764938509926,numeric,1743,1741
stoch_d_60,0.03530382571253958,numeric,1743,1740
stoch_d_240,0.03530382571253958,numeric,1743,1740
rsi,0.03236997545680085,numeric,1743,1728
cmo_240,0.029157314030722623,numeric,1743,1741
bollinger_percent_b_480,0.029157314030722623,numeric,1743,1741
cmo_60,0.029157314030722623,numeric,1743,1741
roc_240,0.02760124236679771,numeric,1743,1741
roc_60,0.02760124236679771,numeric,1743,1741
ret_1h,0.02746878762991104,numeric,1743,1741
ret_4h,0.02746878762991104,numeric,1743,1741
stoch_k_480,0.019835116668565436,numeric,1743,1739
williams_r_480,0.01864592103515655,numeric,1743,1741
stoch_k_240,0.016732161790906693,numeric,1743,1740
stoch_k_60,0.016732161790906693,numeric,1743,1740
williams_r_60,0.016592488282895692,numeric,1743,1742
williams_r_240,0.016592488282895692,numeric,1743,1742
stoch_d_480,0.012609403790228554,numeric,1743,1739
minus_di_480,0.011414777398634859,numeric,1743,1740
cmo_480,0.01021364859693652,numeric,1743,1740
plus_di_480,0.009697430248720551,numeric,1743,1740
cci_480,0.009188453893805352,numeric,1743,1741
adx_480,0.008185057338227057,numeric,1743,1740
minus_di_60,0.006701629776201318,numeric,1743,1741
minus_di_240,0.006701629776201318,numeric,1743,1741
plus_di_60,0.0038241902050014415,numeric,1743,1741
plus_di_240,0.0038241902050014415,numeric,1743,1741
adx_240,2.5780666605408365e-05,numeric,1743,1741
adx_60,2.5780666605408365e-05,numeric,1743,1741
bollinger_percent_b_60,0.0,numeric,1743,1742
bollinger_bandwidth_240,0.0,numeric,1743,1742
slope_60,0.0,numeric,1743,1742
bollinger_bandwidth_60,0.0,numeric,1743,1742
cci_240,0.0,numeric,1743,1742
obv,0.0,numeric,0,0
bollinger_percent_b_240,0.0,numeric,1743,1742
mfi_60,0.0,numeric,1743,1741
mfi_240,0.0,numeric,1743,1741
mfi_480,0.0,numeric,1743,1740
cci_60,0.0,numeric,1743,1742
slope_240,0.0,numeric,1743,1742
parkinson_4h,0.0,numeric,0,0
yang_zhang_8h,0.0,numeric,0,0
std_returns_60,0.0,numeric,1743,1741
cmf_480,0.0,numeric,1743,1741
cmf_240,0.0,numeric,1743,1742
pvt,0.0,numeric,0,0
std_returns_240,0.0,numeric,1743,1741
cmf_60,0.0,numeric,1743,1742
yang_zhang_4h,0.0,numeric,0,0
